topic;link;domain;published_date;title;lang;date;year;word_count
SCIENCE;https://risingsunchatsworth.co.za/85612/celebrating-earth-beauty/;risingsunchatsworth.co.za;2017-10-03 19:39:47;Celebrating Earth and its beauty;en;2017-10-03 19:39:47;2017;5
SCIENCE;https://www.space.com/17933-nasa-television-webcasts-live-space-tv.html;space.com;2017-06-06 20:02:55;Watch live tonight: Perseid meteor shower webcasts;en;2017-06-06 20:02:55;2017;7
SCIENCE;https://earthsky.org/?p=2448;earthsky.org;2017-03-28 00:03:38;1st quarter moon is August 25 | Moon Phases;en;2017-03-28 00:03:38;2017;9
SCIENCE;https://www.thequint.com/tech-and-auto/tech-news/we-are-celebrating-the-9th-anniversary-of-indias-first-mission-to-the-moon-chandrayaan-1;thequint.com;2017-10-21 10:37:51;India Sent Chandrayaan-1 to the Moon 10 Years Ago – Here’s How!;en;2017-10-21 10:37:51;2017;12
SCIENCE;https://www.thenational.ae/world/experts-discover-cavities-in-egypt-s-great-pyramid-1.187601;thenational.ae;2017-07-06 02:07:59;Experts discover 'cavities' in Egypt's Great Pyramid;en;2017-07-06 02:07:59;2017;7
SCIENCE;https://www.thenational.ae/world/europe/scottish-german-and-swiss-scientists-win-2017-nobel-chemistry-prize-1.664081;thenational.ae;2017-10-04 12:01:57;Scottish, German and Swiss scientists win 2017 Nobel Chemistry Prize;en;2017-10-04 12:01:57;2017;10
SCIENCE;https://www.space.com/19195-night-sky-planets-asteroids-webcasts.html;space.com;2017-06-08 15:35:44;Watch live @ 7 pm ET: Slooh livestreams the Perseid meteor shower;en;2017-06-08 15:35:44;2017;12
SCIENCE;https://hackaday.com/author/lewinday/;hackaday.com;2016-12-08 06:08:06;Author: Lewin Day;en;2016-12-08 06:08:06;2016;3
SCIENCE;https://www.thenational.ae/world/cherry-tree-from-space-amazes-and-baffles-japan-1.307349;thenational.ae;2017-07-18 01:29:50;'Cherry tree from space' amazes and baffles Japan;en;2017-07-18 01:29:50;2017;8
ENTERTAINMENT;https://www.stuff.co.nz/waikato-times;stuff.co.nz;2012-09-16 04:44:50;Waikato Times: Hamilton and Waikato news;en;2012-09-16 04:44:50;2012;6
SPORTS;https://www.nhl.com/canadiens/news/;nhl.com;2016-09-23 08:46:28;2020 Playoffs: Feels like 2010…;en;2016-09-23 08:46:28;2016;5
SCIENCE;https://forward.com/schmooze/375435/lena-dunham-gets-grief-for-giving-up-beloved-rescue-dog/;forward.com;2017-12-01 22:52:46;Lena Dunham Gets Grief For Giving Up Beloved Rescue Dog;en;2017-12-01 22:52:46;2017;10
SCIENCE;https://www.courthousenews.com/new-timeline-ancient-ice-sheet-collapse-raises-warning-climate-change/;courthousenews.com;2017-11-09 21:04:15;New Timeline of Ancient Ice Sheet Collapse Raises Warning About Climate Change;en;2017-11-09 21:04:15;2017;12
SCIENCE;https://www.space.com/17933-nasa-television-webcasts-live-space-tv.html;space.com;2017-06-06 20:02:55;Watch live Tuesday: SpaceX launching Starlink, SkySat satellites;en;2017-06-06 20:02:55;2017;8
SPORTS;https://www.stuff.co.nz/sport;stuff.co.nz;2012-09-16 04:46:00;Sports: Rugby, cricket, football, All Blacks;en;2012-09-16 04:46:00;2012;6
SCIENCE;https://www.thrillist.com/news/nation/how-to-photograph-the-supermoon-2017;thrillist.com;2017-12-03 19:09:23;The Only Supermoon of 2017 Is Tonight. Here’s How to Photograph It.;en;2017-12-03 19:09:23;2017;12
BUSINESS;https://www.businesstimes.com.sg/companies-markets;businesstimes.com.sg;2016-12-22 02:39:16;Companies & Markets Latest News & Headlines;en;2016-12-22 02:39:16;2016;7
SCIENCE;https://www.pennlive.com/news/;pennlive.com;2015-10-23 16:44:48;Real-Time News from PennLive;en;2015-10-23 16:44:48;2015;4
SCIENCE;https://www.thenational.ae/world/this-weird-and-goofy-dinosaur-ate-like-a-giant-vacuum-cleaner-1.446327;thenational.ae;2017-08-16 01:15:31;This weird and goofy dinosaur ate like a giant vacuum cleaner;en;2017-08-16 01:15:31;2017;11
SCIENCE;https://www.moneyweb.co.za/news-fast-news/large-asteroid-to-pass-close-to-earth-on-wednesday-nasa/;moneyweb.co.za;2017-04-18 22:04:49;Large asteroid to pass close to Earth on Wednesday – NASA;en;2017-04-18 22:04:49;2017;11
SCIENCE;https://www.space.com/19195-night-sky-planets-asteroids-webcasts.html;space.com;2017-06-08 15:35:44;Watch live: Slooh livestreams the Perseid meteor shower Wednesday @ 7 pm ET;en;2017-06-08 15:35:44;2017;13
SPORTS;https://www.stuff.co.nz/southland-times;stuff.co.nz;2012-09-16 04:44:57;Southland Times: Southland /Invercargill news;en;2012-09-16 04:44:57;2012;5
SCIENCE;https://health.economictimes.indiatimes.com/news/industry/silkworm-micrococoons-could-be-used-in-biotechnology-medicine/59675635;health.economictimes.indiatimes.com;2017-10-16 08:27:43;Silkworm micrococoons could be used in biotechnology, medicine;en;2017-10-16 08:27:43;2017;8
